USERID,NAME,SKILLNAME,PROFICIENCYLEVEL
656,Nicolis,Python programming,Beginner
783,Blakeley,,
280,Noah,IT asset management,Beginner
287,Matias,VMware virtualization,Beginner
978,Peta,,
603,Henderson,,
903,Mandi,Wireframing,Advanced
12,Othello,,
339,Jesus,DevOps practices,Advanced
198,Chandra,Microservices architecture,Advanced
852,Yule,Technical documentation,Advanced
43,Bald,,
681,Lion,,
486,Germana,,
38,Darci,,
631,Karoline,Infrastructure as Code (IaC),Beginner
272,Thorpe,,
6,Terence,UI-UX design,Advanced
990,Emelen,Test-driven development (TDD),Advanced
31,Remington,Microservices architecture,Advanced
713,Halette,Mobile app development (iOS,Intermediate
129,Sim,Data visualization,Beginner
813,Alfie,Social media management,Intermediate
579,Hanna,Customer relationship management (CRM),Advanced
917,Riki,Wireframing,Intermediate
768,Maurizia,Git,Beginner
382,Jaime,,
995,Alis,,
920,Warde,Project planning and scheduling,Intermediate
622,Shaina,Lean methodology,Advanced
7,Silvanus,Business continuity planning,Advanced
646,Shae,Serverless architecture,Advanced
684,Roderigo,Bash scripting,Advanced
744,Cy,,
103,Bradan,,
788,Carl,Hadoop,Intermediate
204,Prent,,
45,Tye,Agile methodologies,Intermediate
670,Brose,ServiceNow,Advanced
846,Cullie,Azure cloud computing,Advanced
108,Iggie,,
687,Prudence,Test automation,Beginner
883,Pierce,Cybersecurity,Intermediate
873,Cornela,,
891,Pippa,,
172,Edeline,,
840,Ruttger,Deep learning,Advanced
807,Forster,Email marketing,Intermediate
128,Corine,,
809,Rosemary,Vue.js),Beginner
892,Edd,Service management tools (e.g.,Intermediate
870,Remy,SQL database management,Intermediate
424,Alphard,,
953,Dean,Time management,Advanced
250,Clea,AWS cloud computing,Beginner
364,Noreen,Business analysis,Beginner
695,Tann,Creativity and innovation,Advanced
624,Ryann,,
850,Chalmers,Wireframing,Advanced
93,Noble,Cryptocurrency,Intermediate
628,Eadie,Conflict resolution,Intermediate
30,Farr,Deep learning,Intermediate
1,Addi,UI-UX design,Intermediate
800,Ricoriki,Data visualization,Advanced
78,Cammy,Social media management,Intermediate
187,Elbertina,,
998,Haydon,,
547,Alexina,Continuous deployment (CD),Intermediate
191,Cull,,
598,Mercy,Social media management,Advanced
223,Ruggiero,Compliance and regulatory knowledge,Intermediate
87,Fidel,DevOps practices,Advanced
895,Sandro,Bash scripting,Intermediate
241,Mersey,Penetration testing,Advanced
377,Franny,Security auditing,Advanced
590,Dorice,,
764,Arley,Email marketing,Intermediate
425,Caryl,Sales and negotiation,Advanced
130,Rainer,Disaster recovery planning,Beginner
328,Evangeline,Cryptocurrency,Advanced
792,Rivalee,Conflict resolution,Intermediate
283,Nettle,Critical thinking,Intermediate
461,Fredrick,Conflict resolution,Beginner
908,Innis,Leadership and team management,Beginner
260,Nathalie,API design and management,Beginner
774,Saunders,Creativity and innovation,Intermediate
340,Egbert,UI-UX design,Advanced
650,Angy,,
444,Sawyer,Digital marketing,Advanced
262,Jodi,,
794,Nollie,Blockchain technology,Advanced
707,Carroll,,
824,Konstantine,Continuous integration (CI),Advanced
946,Casie,Linux system administration,Beginner
663,Sibyl,,
186,Hy,Mobile app development (iOS,Beginner
731,Riobard,,
733,Papagena,Continuous deployment (CD),Intermediate
322,Neysa,User research,Intermediate
291,Katti,,
985,Boote,Presentation skills,Advanced
416,Kelley,Enterprise integration,Beginner
289,Mickie,,
427,Ricca,GraphQL,Intermediate
292,Dido,Compliance and regulatory knowledge,Advanced
455,Harbert,,
528,Ximenes,,
371,Bruno,PowerShell scripting,Advanced
651,Chic,Data visualization,Beginner
730,Rosabel,Vue.js),Advanced
79,Bertrand,,
596,Toddy,,
106,Cathryn,Docker containerization,Advanced
954,Myrilla,GraphQL,Beginner
174,Ewen,,
922,Grissel,Wireframing,Intermediate
964,Estrellita,Content marketing,Advanced
281,Merci,,
48,Hasheem,Blockchain technology,Advanced
869,Granger,,
453,Dennison,Presentation skills,Intermediate
726,Melina,,
341,Wakefield,,
470,Bird,,
587,Rivalee,,
29,Ermanno,,
71,Judd,Serverless architecture,Intermediate
816,Bone,Angular,Advanced
42,Gordie,,
459,Jere,Email marketing,Beginner
956,Merrel,,
992,Walliw,Scrum,Advanced
32,Stanislas,,
89,Weber,,
70,Barris,,
535,Nichols,PowerShell scripting,Intermediate
639,Maure,SQL database management,Intermediate
714,Bruno,Enterprise integration,Advanced
109,Byram,,
633,Bastien,Deep learning,Advanced
141,Olvan,,
295,Davidde,Technical writing,Advanced
948,Judith,Network administration,Intermediate
898,Philip,Linux system administration,Intermediate
162,Archie,,
644,Elsy,Software testing,Beginner
782,Chen,GraphQL,Intermediate
13,Penni,Docker containerization,Beginner
886,Bekki,,
331,Corissa,,
413,Jilleen,,
575,Alejandra,VMware virtualization,Advanced
432,Ignacius,API design and management,Advanced
671,Raymond,Linux system administration,Beginner
661,Heall,,
530,Land,Kanban,Advanced
634,Maud,,
942,Evita,,
5,Opaline,IT project management,Advanced
507,Whitney,Machine learning,Beginner
613,Rowney,,
146,Abel,Technical writing,Beginner
987,Claretta,,
865,Giacopo,Behavior-driven development (BDD),Intermediate
355,Rycca,Sales and negotiation,Advanced
974,Shandee,PowerShell scripting,Beginner
252,Uri,Leadership and team management,Advanced
365,Charlotta,,
578,Thibaut,Wireframing,Beginner
951,Ermina,Usability testing,Advanced
965,Addie,PPC advertising,Advanced
215,Kelby,,
862,Ester,Agile methodologies,Beginner
762,Eldon,Change management,Beginner
940,Purcell,Process improvement,Beginner
227,Wilbur,Data analysis,Advanced
192,Hendrika,AWS cloud computing,Beginner
64,Dasya,Kanban,Advanced
400,Leo,Jira),Intermediate
335,Bordy,Web services,Advanced
338,Terrence,,
630,Hill,Continuous integration (CI),Beginner
798,Hortensia,Infrastructure as Code (IaC),Advanced
185,Heloise,Software testing,Intermediate
451,Berte,,
380,Goddart,Natural language processing,Advanced
749,Garrot,Agile methodologies,Intermediate
478,Carlie,,
471,Elladine,,
354,Cesar,,
304,Hervey,Penetration testing,Beginner
248,Chelsie,,
107,Egan,,
625,Torrie,,
526,Errol,Creativity and innovation,Intermediate
345,Madelle,,
40,Mellisa,Android),Intermediate
21,Ddene,,
896,Anthe,,
157,Cornela,Hadoop,Advanced
973,Cynthia,Web development frameworks (e.g.,Advanced
342,Bethany,Technical documentation,Intermediate
527,Damon,,
27,Joete,Data analysis,Intermediate
981,Adelind,Mobile app development (iOS,Intermediate
570,Colly,Mobile app development (iOS,Beginner
808,Neila,JavaScript programming,Advanced
552,Brittney,Big data technologies (e.g.,Advanced
563,Earle,,
370,Hana,Content management systems (CMS),Intermediate
237,Matthaeus,Critical thinking,Beginner
484,Roley,,
417,Lyman,Cybersecurity,Beginner
793,Jacquelin,,
116,Berkly,Wireframing,Advanced
597,Antons,C++ programming,Advanced
491,Tully,Incident response,Advanced
489,Sonja,Disaster recovery planning,Advanced
790,Alexi,Process improvement,Beginner
761,Rosana,Technical writing,Advanced
492,Malchy,Cryptocurrency,Advanced
2,Mattie,,
91,Toddy,Cryptocurrency,Intermediate
804,Giffard,SVN),Intermediate
522,Teressa,JavaScript programming,Intermediate
867,Dennis,Test-driven development (TDD),Advanced
678,Antonetta,Robotics,Beginner
378,Alexandros,,
267,Laryssa,,
741,Alley,,
152,Dorrie,,
812,Meghan,NoSQL database management,Intermediate
619,Nadiya,Python programming,Advanced
742,Kingston,,
296,Piper,,
592,Gabrila,,
710,Daniela,Robotics,Beginner
863,Reina,,
133,Heidie,Continuous deployment (CD),Advanced
293,Zelda,Customer relationship management (CRM),Advanced
34,Reinold,Docker containerization,Intermediate
752,Zahara,,
264,Franklin,SQL database management,Advanced
135,Devonne,Kubernetes orchestration,Beginner
602,Keenan,Content management systems (CMS),Intermediate
902,Sutherlan,Python programming,Advanced
233,Elane,,
102,Bili,,
469,Cordi,Process improvement,Beginner
195,Joly,,
474,Minda,,
919,Mindy,,
982,Kinna,,
805,Adrien,Cybersecurity,Advanced
441,Heinrick,,
543,Pearline,,
290,Sisile,,
817,Rollo,Presentation skills,Advanced
983,Adelaide,Git,Intermediate
55,Orazio,,
708,Lucia,,
933,Boonie,Linux system administration,Intermediate
74,Ashlie,,
20,Abrahan,,
914,Hymie,Artificial intelligence,Advanced
209,Linc,Continuous deployment (CD),Advanced
430,Shermie,GraphQL,Beginner
514,Halimeda,Blockchain technology,Advanced
124,Kellsie,,
499,Wallache,,
429,Lorrie,ITIL (Information Technology Infrastructure Library),Advanced
821,Jenine,,
381,Bjorn,Bash scripting,Beginner
337,Marnie,Content management systems (CMS),Intermediate
399,Fritz,ITIL (Information Technology Infrastructure Library),Advanced
932,Verney,Scrum,Intermediate
539,Dorothea,AWS cloud computing,Beginner
171,Stephen,,
352,Wendeline,,
839,Brad,Leadership and team management,Advanced
410,Xena,Data modeling,Intermediate
44,Myrtle,Technical writing,Intermediate
694,Emmalynne,Data modeling,Advanced
740,Monica,,
897,Toiboid,,
263,Cullen,Wireframing,Intermediate
606,Ag,IoT (Internet of Things),Intermediate
617,Rem,Test-driven development (TDD),Beginner
228,Merry,,
756,Edsel,,
506,Miriam,,
861,Stuart,Windows system administration,Beginner
925,Debera,Cybersecurity,Intermediate
147,Lothario,,
288,Timoteo,,
361,Vanni,,
238,Erie,,
196,Loralie,,
367,Patric,,
912,Kellia,Usability testing,Advanced
657,Stacee,Technical documentation,Advanced
182,Fidelio,Spark),Intermediate
627,Bastian,Data analysis,Advanced
906,Tersina,,
270,Madeline,Big data technologies (e.g.,Beginner
787,Kean,,
302,Darrell,AWS cloud computing,Advanced
605,Iggie,Computer vision,Intermediate
795,Roby,,
682,Lee,,
415,Suzi,Technical documentation,Advanced
318,Laetitia,Change management,Intermediate
297,Kelly,,
473,Gare,Leadership and team management,Intermediate
969,Nancy,,
465,Gerri,Project planning and scheduling,Beginner
438,Maryanna,,
515,Marjy,,
154,Taryn,Service management tools (e.g.,Advanced
692,Jourdain,Content management systems (CMS),Beginner
672,Xaviera,,
945,Fay,,
502,Beatrix,Jira),Advanced
63,Garald,ServiceNow,Advanced
521,Ambrosio,,
202,Baird,VMware virtualization,Beginner
329,Kaycee,,
303,Ermanno,,
282,Lion,Incident response,Intermediate
532,Dru,Data analysis,Intermediate
274,Nonna,,
402,Germain,NoSQL database management,Beginner
405,Omero,Problem-solving,Intermediate
751,Dorian,Computer vision,Advanced
901,Amber,Incident response,Beginner
871,Rodd,,
166,Dun,Creativity and innovation,Advanced
84,Mariele,Enterprise integration,Intermediate
505,Ike,Cryptography,Advanced
647,Ebeneser,Natural language processing,Advanced
391,Nolly,Test-driven development (TDD),Intermediate
508,Sandra,Machine learning,Advanced
11,Linda,JavaScript programming,Advanced
69,Odell,,
73,Teodorico,Critical thinking,Intermediate
259,Saunder,Cryptocurrency,Advanced
446,Mano,,
643,Torrence,IT project management,Beginner
482,Morgun,,
26,Dayle,,
242,Delcine,Usability testing,Beginner
123,Tedmund,PPC advertising,Beginner
113,Freeman,Technical documentation,Advanced
115,Ella,Business analysis,Intermediate
14,Mendy,,
414,Cleon,IT project management,Beginner
56,Cyril,Test-driven development (TDD),Advanced
553,Glenn,,
200,Thane,Big data technologies (e.g.,Advanced
110,Gregory,Network administration,Beginner
738,Adiana,,
490,Barny,,
422,Karla,Network security,Advanced
156,Nicolai,API design and management,Intermediate
308,Robinet,SEO (Search Engine Optimization),Advanced
406,Rube,Version control systems (e.g.,Intermediate
829,Rodge,Process improvement,Advanced
219,Tedd,SVN),Intermediate
125,Lowell,React.js,Beginner
721,Pall,,
545,Brigg,,
936,Anthe,,
760,Wernher,Vue.js),Advanced
197,Malcolm,Agile methodologies,Intermediate
57,Idette,,
231,Ermentrude,IT asset management,Beginner
685,Vivienne,,
319,Elbertina,,
789,Scarlet,Robotics,Beginner
939,Rudd,Customer relationship management (CRM),Advanced
28,Pavel,,
271,Evonne,IT asset management,Advanced
667,Louisette,Adaptability,Advanced
669,Dame,Wireframing,Advanced
822,Melinda,,
904,Maude,Kubernetes orchestration,Advanced
616,Tessy,Helpdesk support,Intermediate
383,Nial,,
546,Sapphira,,
452,Celisse,C++ programming,Intermediate
347,Enrico,,
225,Hyatt,Git,Beginner
206,Morgan,Web services,Advanced
420,Kathlin,JavaScript programming,Advanced
254,Denna,Active listening.,Advanced
277,Neall,,
722,Renae,Angular,Beginner
117,Gordie,Active listening.,Beginner
658,Irwinn,Blockchain technology,Intermediate
775,Blondell,Linux system administration,Advanced
390,Blisse,,
66,Lambert,Angular,Intermediate
612,Natty,Mobile app development (iOS,Advanced
167,Maryjo,Behavior-driven development (BDD),Advanced
142,Anabella,Wireframing,Beginner
905,Corbett,,
436,Maridel,,
148,Byrann,VMware virtualization,Beginner
261,Fara,Infrastructure as Code (IaC),Intermediate
615,Annabela,Kubernetes orchestration,Intermediate
99,Keriann,Web development frameworks (e.g.,Advanced
121,Jacenta,,
585,Kristofer,,
158,Clarance,Creativity and innovation,Advanced
351,Leigha,Data modeling,Advanced
882,Alla,JavaScript programming,Advanced
881,Julieta,Enterprise integration,Advanced
404,Morgana,Enterprise integration,Advanced
298,Nicol,JavaScript programming,Advanced
468,Quinta,Leadership and team management,Advanced
189,Florenza,Data visualization,Advanced
359,Lucie,API design and management,Intermediate
566,Latrina,Risk assessment and management,Advanced
325,Codie,Behavior-driven development (BDD),Intermediate
770,Renault,Agile methodologies,Advanced
311,Silvanus,,
729,Tremaine,,
927,Verena,Natural language processing,Advanced
955,Iosep,Content marketing,Advanced
844,Carley,Data visualization,Beginner
723,Aile,,
384,Merlina,Linux system administration,Intermediate
454,Katrine,Prototyping,Beginner
472,Latashia,Mobile app development (iOS,Advanced
358,Alfredo,Web development frameworks (e.g.,Advanced
872,Blondy,,
935,Rickie,,
247,Sigismond,Social media management,Beginner
626,Chadd,Time management,Advanced
61,Kizzee,,
392,Lamond,Microservices architecture,Beginner
47,Raphael,,
918,Broddy,Hadoop,Intermediate
586,Poul,,
431,Damita,HTML-CSS,Advanced
41,Meredith,Prototyping,Advanced
929,Pennie,Jira),Intermediate
583,Darell,Content management systems (CMS),Beginner
567,Amaleta,Penetration testing,Intermediate
481,Bruis,,
396,Phylys,Deep learning,Beginner
621,Debera,HTML-CSS,Advanced
96,Lucia,Security auditing,Intermediate
773,Noel,SVN),Beginner
426,Odella,,
697,Cheri,Technical documentation,Advanced
819,Dalli,Deep learning,Intermediate
8,Darryl,Technical writing,Intermediate
769,Starla,Hadoop,Intermediate
460,Helsa,Software testing,Advanced
442,Bibby,Content management systems (CMS),Advanced
683,Ilsa,Helpdesk support,Advanced
230,Ava,React.js,Intermediate
168,Reynold,Java programming,Advanced
737,Caz,Time management,Beginner
50,Carie,Risk assessment and management,Advanced
642,Alec,Active listening.,Advanced
25,Lawton,React.js,Advanced
828,Lizzy,,
970,Augustin,,
449,Camille,Email marketing,Beginner
376,Hermann,Service management tools (e.g.,Beginner
201,Aeriell,Agile methodologies,Intermediate
494,Hilde,Disaster recovery planning,Advanced
500,Rodolphe,,
666,Stefania,,
386,Olympie,,
594,Arther,,
961,Jourdan,Behavior-driven development (BDD),Advanced
160,Andras,DevOps practices,Advanced
629,Garnet,Data analysis,Intermediate
719,Ketti,Digital marketing,Intermediate
112,Martina,Serverless architecture,Advanced
556,Ulla,,
640,Olag,Machine learning,Intermediate
497,Francine,Decision-making,Advanced
827,Moritz,Version control systems (e.g.,Advanced
930,Loreen,Problem-solving,Advanced
779,Vevay,Bash scripting,Beginner
510,Cordell,Creativity and innovation,Beginner
728,Sonny,Time management,Advanced
877,Courtney,Security auditing,Intermediate
58,Gordie,,
677,Lauretta,PPC advertising,Intermediate
4,Desiree,Enterprise integration,Intermediate
301,Margret,,
968,Calvin,Mobile app development (iOS,Intermediate
843,Berne,,
635,Fran,Spark),Intermediate
433,Granthem,Google Cloud Platform,Beginner
854,Hatti,,
24,Elisa,,
360,Annora,Business continuity planning,Intermediate
408,Hunfredo,Adaptability,Advanced
837,Ky,Business analysis,Beginner
573,Nissie,React.js,Advanced
582,Ashby,Data modeling,Intermediate
213,Pail,Adaptability,Advanced
949,Nicko,Change management,Beginner
97,Patrizia,Version control systems (e.g.,Advanced
610,Tressa,Agile methodologies,Beginner
853,Gerladina,,
333,Rozanne,Prototyping,Advanced
232,Kiley,,
976,Betteanne,,
864,Orlan,,
54,Bethena,Web services,Beginner
120,Rozalie,Machine learning,Intermediate
815,Thorin,,
525,Marleah,Hadoop,Intermediate
533,Rockie,DevOps practices,Intermediate
538,Cesare,,
589,Meridith,ITIL (Information Technology Infrastructure Library),Advanced
379,Peter,Android),Intermediate
754,Marijo,AWS cloud computing,Advanced
134,Elsinore,,
841,Wilie,,
236,Nils,Compliance and regulatory knowledge,Advanced
216,Halley,,
717,Janeta,Test automation,Beginner
51,Adolph,Enterprise integration,Advanced
419,Jerad,,
823,Kincaid,,
860,Bartholomew,,
363,Winn,Risk assessment and management,Beginner
476,Sauveur,Project planning and scheduling,Advanced
493,Arte,,
653,Danyelle,,
703,Tamas,Angular,Advanced
67,Hobart,,
899,Pall,Problem-solving,Advanced
851,Vivyan,Cryptography,Advanced
321,Fairlie,Serverless architecture,Beginner
83,Marketa,Business analysis,Intermediate
926,Mortie,AWS cloud computing,Advanced
750,Bevin,Network security,Intermediate
39,Estrellita,,
111,Merwyn,Cryptography,Intermediate
353,Carmita,,
554,Parke,,
767,Consalve,,
996,Merle,Active listening.,Intermediate
649,Bonnibelle,,
